Time,Node,S,E,I,R
14,8,6600.0,0.0,0.0,88630.05
14,9,9205.0,0.0,0.0,125882.28
14,10,3525.0,0.0,0.0,55707.867
14,11,6371.0,0.0,0.0,96934.22
14,12,7133.0,0.0,0.0,110262.516
14,13,8043.0,0.0,0.0,122387.445
15,0,1448.0,12.0,61.0,25641.914
15,1,1687.0,0.0,0.0,31711.219
15,2,2404.0,0.0,0.0,37381.984
15,3,4071.0,0.0,0.0,53574.027
15,4,5598.0,0.0,0.0,76476.96
15,5,4194.0,0.0,0.0,49869.227
15,6,9724.0,0.0,0.0,139577.66
15,7,8141.0,0.0,0.0,120296.51
15,8,6600.0,0.0,0.0,88626.836
15,9,9205.0,0.0,0.0,125877.734
15,10,3525.0,0.0,0.0,55705.86
15,11,6371.0,0.0,0.0,96930.734
15,12,7133.0,0.0,0.0,110258.555
15,13,8043.0,0.0,0.0,122383.05
16,0,1443.0,15.0,63.0,25639.71
16,1,1687.0,0.0,0.0,31708.504
16,2,2404.0,0.0,0.0,37379.25
16,3,4071.0,0.0,0.0,53570.7
16,4,5598.0,0.0,0.0,76472.23
16,5,4194.0,0.0,0.0,49866.11
16,6,9724.0,0.0,0.0,139571.84
16,7,8141.0,0.0,0.0,120292.21
16,8,6600.0,0.0,0.0,88623.625
16,9,9205.0,0.0,0.0,125873.19
16,10,3525.0,0.0,0.0,55703.848
16,11,6371.0,0.0,0.0,96927.25
16,12,7133.0,0.0,0.0,110254.59
16,13,8043.0,0.0,0.0,122378.66
17,0,1432.0,22.0,63.0,25641.508
17,1,1687.0,0.0,0.0,31705.79
17,2,2404.0,0.0,0.0,37376.52
17,3,4071.0,0.0,0.0,53567.37
17,4,5598.0,0.0,0.0,76467.5
17,5,4194.0,0.0,0.0,49862.996
17,6,9724.0,0.0,0.0,139566.03
17,7,8141.0,0.0,0.0,120287.92
17,8,6600.0,0.0,0.0,88620.42
17,9,9205.0,0.0,0.0,125868.64
17,10,3525.0,0.0,0.0,55701.84
17,11,6371.0,0.0,0.0,96923.766
17,12,7133.0,0.0,0.0,110250.64
17,13,8043.0,0.0,0.0,122374.266
18,0,1428.0,16.0,70.0,25642.303
18,1,1687.0,0.0,0.0,31703.07
18,2,2404.0,0.0,0.0,37373.79
18,3,4071.0,0.0,0.0,53564.043
18,4,5598.0,0.0,0.0,76462.766
18,5,4194.0,0.0,0.0,49859.88
18,6,9724.0,0.0,0.0,139560.22
18,7,8141.0,0.0,0.0,120283.625
18,8,6600.0,0.0,0.0,88617.21
18,9,9205.0,0.0,0.0,125864.09
18,10,3525.0,0.0,0.0,55699.836
18,11,6371.0,0.0,0.0,96920.28
18,12,7133.0,0.0,0.0,110246.68
18,13,8043.0,0.0,0.0,122369.87
19,0,1418.0,22.0,70.0,25644.098
19,1,1687.0,0.0,0.0,31700.355
19,2,2404.0,0.0,0.0,37371.06
19,3,4071.0,0.0,0.0,53560.715
19,4,5598.0,0.0,0.0,76458.03
19,5,4194.0,0.0,0.0,49856.766
19,6,9724.0,0.0,0.0,139554.39
19,7,8141.0,0.0,0.0,120279.33
19,8,6600.0,0.0,0.0,88614.0
19,9,9205.0,0.0,0.0,125859.55
19,10,3525.0,0.0,0.0,55697.83
19,11,6371.0,0.0,0.0,96916.805
19,12,7133.0,0.0,0.0,110242.72
19,13,8043.0,0.0,0.0,122365.48
20,0,1409.0,22.0,77.0,25643.895
20,1,1687.0,0.0,0.0,31697.64
20,2,2404.0,0.0,0.0,37368.33
20,3,4071.0,0.0,0.0,53557.387
20,4,5598.0,0.0,0.0,76453.305
20,5,4194.0,0.0,0.0,49853.65
20,6,9724.0,0.0,0.0,139548.58
20,7,8141.0,0.0,0.0,120275.03
20,8,6600.0,0.0,0.0,88610.8
20,9,9205.0,0.0,0.0,125855.0
20,10,3525.0,0.0,0.0,55695.82
20,11,6371.0,0.0,0.0,96913.33
20,12,7133.0,0.0,0.0,110238.766
20,13,8043.0,0.0,0.0,122361.086
21,0,1398.0,26.0,84.0,25642.693
21,1,1688.0,0.0,0.0,31694.924
21,2,2364.0,0.0,0.0,36995.594
21,3,4083.0,0.0,0.0,53554.06
21,4,5616.0,0.0,0.0,76448.57
21,5,4206.0,0.0,0.0,49850.535
21,6,9778.0,0.0,0.0,139539.75
21,7,8193.0,0.0,0.0,120266.74
21,8,6639.0,0.0,0.0,88604.586
21,9,9260.0,0.0,0.0,125842.45
21,10,3549.0,0.0,0.0,55693.812
21,11,6412.0,0.0,0.0,96906.84
21,12,7180.0,0.0,0.0,110230.805
21,13,8095.0,0.0,0.0,122356.695
22,0,1387.0,26.0,92.0,25643.49
22,1,1688.0,0.0,0.0,31692.209
22,2,2364.0,0.0,0.0,36992.863
22,3,4083.0,0.0,0.0,53550.734
22,4,5616.0,0.0,0.0,76443.84
22,5,4206.0,0.0,0.0,49847.42
22,6,9778.0,0.0,0.0,139533.94
22,7,8193.0,0.0,0.0,120262.445
22,8,6639.0,0.0,0.0,88601.38
22,9,9260.0,0.0,0.0,125837.91
22,10,3549.0,0.0,0.0,55691.805
22,11,6412.0,0.0,0.0,96903.36
22,12,7180.0,0.0,0.0,110226.84
22,13,8095.0,0.0,0.0,122352.305
23,0,1377.0,24.0,102.0,25643.287
23,1,1688.0,0.0,0.0,31689.496
23,2,2364.0,0.0,0.0,36990.133
23,3,4083.0,0.0,0.0,53547.406
23,4,5616.0,0.0,0.0,76439.11
23,5,4206.0,0.0,0.0,49844.305
23,6,9778.0,0.0,0.0,139528.12
23,7,8193.0,0.0,0.0,120258.15
23,8,6639.0,0.0,0.0,88598.17
23,9,9260.0,0.0,0.0,125833.37
23,10,3549.0,0.0,0.0,55689.797
23,11,6412.0,0.0,0.0,96899.88
23,12,7180.0,0.0,0.0,110222.89
23,13,8095.0,0.0,0.0,122347.914
24,0,1364.0,26.0,112.0,25642.086
24,1,1688.0,0.0,0.0,31686.781
24,2,2364.0,0.0,0.0,36987.406
24,3,4083.0,0.0,0.0,53544.08
24,4,5616.0,0.0,0.0,76434.38
24,5,4206.0,0.0,0.0,49841.195
24,6,9778.0,0.0,0.0,139522.31
24,7,8193.0,0.0,0.0,120253.86
24,8,6639.0,0.0,0.0,88594.97
24,9,9260.0,0.0,0.0,125828.83
24,10,3549.0,0.0,0.0,55687.793
24,11,6412.0,0.0,0.0,96896.41
24,12,7180.0,0.0,0.0,110218.93
24,13,8095.0,0.0,0.0,122343.52
25,0,702.0,27.0,122.0,26290.883
25,1,787.0,0.0,0.0,32585.066
25,2,1466.0,0.0,0.0,37882.67
25,3,2981.0,0.0,0.0,54642.754
