"adm0_name","adm1_name","n_samples","r_effect_mean","r_effect_sd","r_effect_median","sia_effect_mean","sia_effect_sd","sia_effect_median","r_effect_q025","r_effect_q975","sia_effect_q025","sia_effect_q975","correlation"
"DEMOCRATIC REPUBLIC OF THE CONGO","HAUT UELE",500,1.003173886614373,0.4489770140557712,0.9909578772774654,-0.06490737470452712,0.2816114044615423,-0.05933296394541909,0.1106147441986822,1.9320186774167674,-0.6184957892806163,0.47868764289947163,-0.08815032643154123
"DEMOCRATIC REPUBLIC OF THE CONGO","ITURI",500,1.0319645456539512,0.40112536649404595,0.9941621897708215,-0.10312724026162982,0.2599625707071412,-0.11586895999720563,0.27976964335171783,1.775267053349643,-0.641447480789435,0.4196931918530059,-0.19660978151347452
"DEMOCRATIC REPUBLIC OF THE CONGO","KASAI",500,1.1185473965179262,0.30295517159645285,1.1319721104658371,-0.06742588246523111,0.21979109583569428,-0.0701468080549919,0.4989530347672305,1.6558321847013588,-0.490932028722645,0.3663524702631402,-0.16259486507792187
"DEMOCRATIC REPUBLIC OF THE CONGO","KASAI CENTRAL",500,0.6293020855373903,0.38499896396873257,0.6169189714112476,-0.20343492361313573,0.26992998413476804,-0.19936825286767984,-0.13947806335703938,1.4039645026348206,-0.7172842158172039,0.3202325616667443,-0.15021970363159776
"DEMOCRATIC REPUBLIC OF THE CONGO","KASAI ORIENTAL",500,1.6925390361051933,0.271472026682328,1.692517900503151,-0.7472562281615184,0.2881473559019287,-0.745431717452474,1.1632031244088423,2.241401236084996,-1.3027310334759339,-0.2120309103588481,-0.15165376479784132
"DEMOCRATIC REPUBLIC OF THE CONGO","KINSHASA",500,0.4172152030594486,0.34431738920068466,0.43615275160694156,-0.357293207256667,0.28540498162785594,-0.3627305879203965,-0.25457344116059666,1.089642324263174,-0.9176344043040778,0.1978587045285874,-0.09091388546095405
"DEMOCRATIC REPUBLIC OF THE CONGO","KONGO CENTRAL",500,1.027310409193674,0.3654390148868232,1.0232170561990541,-0.3486303959918291,0.278289836014143,-0.3589272073303058,0.30633539211342486,1.7467727619848585,-0.85998081877033306,0.18718844880452168,-0.03295164274552772
"DEMOCRATIC REPUBLIC OF THE CONGO","KWANGO",500,1.1834437532378244,0.3551823009316677,1.1817167269934536,-0.3868944058291774,0.2750492157208555,-0.3731391919312901,0.4585034377799242,1.88665913628975,-0.9332684183391428,0.18343082032484392,-0.06750306139469281
"DEMOCRATIC REPUBLIC OF THE CONGO","KWILU",500,1.6299643061118971,0.2885189485628752,1.6368656524860845,-0.3617439111895007,0.2683982571922073,-0.3557923848813566,1.0337010218710836,2.188993892014845,-0.9080420117346315,0.12969555335854005,-0.11451060234694288
"DEMOCRATIC REPUBLIC OF THE CONGO","LOMAMI",500,0.9700278230914755,0.4229018252859978,0.9827447951271351,-0.23023327460389267,0.22420045641136938,-0.22595449515002797,0.12595644471593626,1.7604229830299918,-0.664229998352257,0.1903074601243575,-0.280003812892964
