ISO_A3,TZA,ESH,COD,SOM,KEN,SDN,TCD,ZAF,LSO,ZWE,BWA,NAM,SEN,MLI,MRT,BEN,NER,NGA,CMR,TGO,GHA,CIV,GIN,GNB,LBR,SLE,BFA,CAF,COG,GAB,GNQ,ZMB,MWI,MOZ,SWZ,AGO,BDI,MDG,GMB,TUN,DZA,ERI,MAR,EGY,LBY,ETH,DJI,UGA,RWA,SSD
MWI,779.0,6680.0,1651.0,2378.0,1589.0,3309.0,3642.0,2151.0,2074.0,823.0,1559.0,2167.0,6235.0,5417.0,6223.0,4365.0,4405.0,3864.0,3192.0,4412.0,4593.0,4998.0,5686.0,6167.0,5324.0,5663.0,4912.0,2683.0,2531.0,2871.0,3126.0,723.0,0.0,499.0,1600.0,1864.0,1198.0,1565.0,6275.0,6153.0,5917.0,3239.0,6858.0,4554.0,4935.0,2508.0,2933.0,1629.0,1337.0,2325.0
MOZ,1258.0,7097.0,2099.0,2733.0,2034.0,3804.0,4130.0,1829.0,1690.0,654.0,1415.0,2113.0,6600.0,5834.0,6630.0,4767.0,4868.0,4292.0,3621.0,4801.0,4969.0,5354.0,6041.0,6519.0,5659.0,6004.0,5311.0,3159.0,2926.0,3244.0,3513.0,972.0,499.0,0.0,1179.0,2082.0,1693.0,1274.0,6634.0,6645.0,6387.0,3697.0,7303.0,5045.0,5432.0,2951.0,3356.0,2123.0,1835.0,2822.0
SWZ,2375.0,7570.0,2858.0,3911.0,3188.0,4846.0,4978.0,782.0,533.0,926.0,1000.0,1667.0,6907.0,6327.0,7072.0,5234.0,5567.0,4861.0,4224.0,5223.0,5346.0,5659.0,6325.0,6782.0,5893.0,6247.0,5755.0,3962.0,3460.0,3692.0,3984.0,1596.0,1600.0,1179.0,0.0,2278.0,2672.0,1900.0,6916.0,7483.0,7093.0,4838.0,7888.0,6099.0,6340.0,4107.0,4524.0,3186.0,2823.0,3853.0
AGO,2039.0,5296.0,1254.0,3676.0,2680.0,3461.0,3102.0,2161.0,2382.0,1568.0,1340.0,1151.0,4641.0,4062.0,4796.0,2969.0,3448.0,2653.0,2072.0,2949.0,3067.0,3389.0,4063.0,4528.0,3647.0,3999.0,3482.0,2122.0,1305.0,1450.0,1743.0,1147.0,1864.0,2082.0,2278.0,0.0,1707.0,3353.0,4657.0,5478.0,4943.0,3896.0,5647.0,4636.0,4491.0,3390.0,3867.0,2245.0,1800.0,2601.0
BDI,628.0,5640.0,707.0,1980.0,981.0,2176.0,2451.0,3040.0,3067.0,1759.0,2246.0,2575.0,5327.0,4388.0,5212.0,3394.0,3266.0,2831.0,2171.0,3476.0,3688.0,4136.0,4813.0,5297.0,4511.0,4827.0,3936.0,1528.0,1669.0,2051.0,2246.0,1151.0,1198.0,1693.0,2672.0,1707.0,0.0,2606.0,5386.0,4958.0,4758.0,2317.0,5748.0,3429.0,3739.0,1715.0,2191.0,584.0,151.0,1184.0
MDG,2001.0,8218.0,3182.0,2725.0,2467.0,4412.0,5016.0,2682.0,2405.0,1880.0,2570.0,3301.0,7799.0,6957.0,7770.0,5919.0,5872.0,5398.0,4727.0,5972.0,6156.0,6563.0,7251.0,7732.0,6887.0,7227.0,6466.0,4135.0,4092.0,4435.0,4688.0,2222.0,1565.0,1274.0,1900.0,3353.0,2606.0,0.0,7840.0,7476.0,7355.0,4022.0,8353.0,5574.0,6201.0,3256.0,3536.0,2829.0,2714.0,3520.0
GMB,6005.0,1325.0,4710.0,6879.0,6097.0,5053.0,3793.0,6629.0,6925.0,6210.0,5931.0,5420.0,144.0,1400.0,974.0,2025.0,2795.0,2645.0,3242.0,1914.0,1699.0,1280.0,594.0,169.0,1037.0,689.0,1526.0,4062.0,3759.0,3405.0,3162.0,5664.0,6275.0,6634.0,6916.0,4657.0,5386.0,7840.0,0.0,3759.0,2684.0,6027.0,2143.0,5273.0,4052.0,6144.0,6452.0,5491.0,5336.0,5127.0
TUN,5501.0,2718.0,4626.0,5342.0,5064.0,3180.0,2517.0,7596.0,7752.0,6567.0,6737.0,6611.0,3615.0,2540.0,2813.0,3068.0,2079.0,2976.0,3423.0,3240.0,3374.0,3614.0,3675.0,3846.0,3935.0,3895.0,2944.0,3522.0,4174.0,4113.0,3854.0,5892.0,6153.0,6645.0,7483.0,5478.0,4958.0,7476.0,3759.0,0.0,1076.0,3980.0,2056.0,2463.0,1310.0,4538.0,4570.0,4647.0,4825.0,3961.0
DZA,5354.0,1715.0,4295.0,5538.0,5071.0,3380.0,2365.0,7102.0,7299.0,6207.0,6260.0,6030.0,2540.0,1498.0,1746.0,2213.0,1528.0,2302.0,2881.0,2355.0,2443.0,2612.0,2612.0,2770.0,2899.0,2835.0,1974.0,3236.0,3656.0,3507.0,3222.0,5541.0,5917.0,6387.0,7093.0,4943.0,4758.0,7355.0,2684.0,1076.0,0.0,4307.0,1229.0,3041.0,1717.0,4723.0,4861.0,4566.0,4643.0,3946.0
ERI,2463.0,5750.0,2647.0,1434.0,1665.0,982.0,2236.0,5315.0,5294.0,3986.0,4554.0,4878.0,5922.0,4702.0,5482.0,4098.0,3272.0,3479.0,3102.0,4268.0,4523.0,5009.0,5565.0,6000.0,5448.0,5672.0,4516.0,2270.0,3191.0,3502.0,3510.0,3450.0,3239.0,3697.0,4838.0,3896.0,2317.0,4022.0,6027.0,3980.0,4307.0,0.0,5517.0,1652.0,2694.0,770.0,596.0,1734.0,2181.0,1317.0
MAR,6365.0,834.0,5208.0,6705.0,6169.0,4573.0,3473.0,7794.0,8029.0,7044.0,6987.0,6649.0,2012.0,1632.0,1221.0,2694.0,2494.0,3032.0,3690.0,2757.0,2728.0,2672.0,2352.0,2284.0,2784.0,2577.0,2241.0,4224.0,4434.0,4202.0,3909.0,6402.0,6858.0,7303.0,7888.0,5647.0,5748.0,8353.0,2143.0,2056.0,1229.0,5517.0,0.0,4266.0,2944.0,5895.0,6060.0,5630.0,5648.0,5055.0
EGY,3791.0,4678.0,3445.0,3085.0,3118.0,1253.0,1825.0,6442.0,6493.0,5188.0,5609.0,5753.0,5145.0,3874.0,4534.0,3647.0,2532.0,3143.0,3092.0,3846.0,4086.0,4526.0,4931.0,5289.0,4957.0,5091.0,3900.0,2556.0,3548.0,3723.0,3599.0,4560.0,4554.0,5045.0,6099.0,4636.0,3429.0,5574.0,5273.0,2463.0,3041.0,1652.0,4266.0,0.0,1325.0,2354.0,2242.0,2925.0,3278.0,2246.0
LBY,4249.0,3364.0,3495.0,4035.0,3769.0,1871.0,1393.0,6531.0,6652.0,5415.0,5670.0,5642.0,3918.0,2660.0,3252.0,2685.0,1507.0,2335.0,2560.0,2885.0,3094.0,3476.0,3776.0,4088.0,3882.0,3960.0,2805.0,2409.0,3228.0,3266.0,3056.0,4744.0,4935.0,5432.0,6340.0,4491.0,3739.0,6201.0,4052.0,1310.0,1717.0,2694.0,2944.0,1325.0,0.0,3229.0,3277.0,3381.0,3598.0,2682.0
ETH,1743.0,6030.0,2191.0,815.0,919.0,1364.0,2455.0,4621.0,4578.0,3282.0,3896.0,4285.0,6052.0,4894.0,5707.0,4143.0,3505.0,3513.0,3017.0,4292.0,4541.0,5029.0,5637.0,6096.0,5456.0,5715.0,4618.0,2147.0,2916.0,3270.0,3341.0,2793.0,2508.0,2951.0,4107.0,3390.0,1715.0,3256.0,6144.0,4538.0,4723.0,770.0,5895.0,2354.0,3229.0,0.0,478.0,1146.0,1599.0,1052.0
DJI,2184.0,6253.0,2662.0,862.0,1351.0,1488.0,2694.0,5065.0,5007.0,3723.0,4356.0,4759.0,6353.0,5162.0,5960.0,4477.0,3746.0,3848.0,3396.0,4635.0,4888.0,5376.0,5964.0,6413.0,5809.0,6055.0,4929.0,2531.0,3354.0,3698.0,3751.0,3257.0,2933.0,3356.0,4524.0,3867.0,2191.0,3536.0,6452.0,4570.0,4861.0,596.0,6060.0,2242.0,3277.0,478.0,0.0,1624.0,2077.0,1458.0
UGA,881.0,5607.0,1080.0,1539.0,610.0,1681.0,2205.0,3602.0,3608.0,2294.0,2823.0,3156.0,5418.0,4384.0,5214.0,3469.0,3138.0,2863.0,2251.0,3580.0,3812.0,4284.0,4940.0,5418.0,4685.0,4980.0,3993.0,1455.0,1932.0,2311.0,2448.0,1722.0,1629.0,2123.0,3186.0,2245.0,584.0,2829.0,5491.0,4647.0,4566.0,1734.0,5630.0,2925.0,3381.0,1146.0,1624.0,0.0,456.0,709.0
RWA,717.0,5558.0,711.0,1915.0,923.0,2025.0,2323.0,3189.0,3218.0,1910.0,2391.0,2702.0,5273.0,4310.0,5137.0,3333.0,3160.0,2758.0,2106.0,3422.0,3640.0,4095.0,4768.0,5250.0,4477.0,4789.0,3872.0,1424.0,1651.0,2035.0,2214.0,1299.0,1337.0,1835.0,2823.0,1800.0,151.0,2714.0,5336.0,4825.0,4643.0,2181.0,5648.0,3278.0,3598.0,1599.0,2077.0,456.0,0.0,1033.0
SSD,1589.0,5104.0,1347.0,1753.0,1126.0,993.0,1586.0,4214.0,4251.0,2943.0,3399.0,3634.0,5040.0,3923.0,4747.0,3112.0,2588.0,2484.0,1966.0,3253.0,3500.0,3986.0,4607.0,5071.0,4410.0,4677.0,3603.0,1096.0,1904.0,2241.0,2295.0,2325.0,2325.0,2822.0,3853.0,2601.0,1184.0,3520.0,5127.0,3961.0,3946.0,1317.0,5055.0,2246.0,2682.0,1052.0,1458.0,709.0,1033.0,0.0
