func,cumpct,selfpct,cumtime,selftime,calls,path
resolve_value_type,6.074806871469137,0.04593746408611216,0.056400700000000005,0.0004265,169,context.py:374
typeof,6.009245008891841,0.06402163810735069,0.055792,0.0005944,185,typeof.py:27
_optimize_final_module,5.5013371410267276,0.005503879049942161,0.0510764,5.11e-05,4,codegen.py:667
run,5.488455263641736,0.002498825713476676,0.050956800000000003,2.32e-05,8,passmanagers.py:676
_pprint_dict,5.407383448360103,0.04748845935654596,0.0502041,0.00044090000000000004,108,pprint.py:209
run,5.16272471524966,0.06387084690050296,0.047932600000000006,0.000593,36,postproc.py:71
winapi_test,5.100103281205896,0.5464027088132404,0.0473512,0.005073,1268,win32.py:114
_repr,4.774146546003548,0.39438363070974986,0.0443249,0.0036616,5398,pprint.py:457
<built-in method builtins.any>,4.75175405178666,0.16220825536620145,0.044117,0.0015060000000000002,2383,~
__call__,4.575360652176283,0.00986605324803722,0.042479300000000005,9.16e-05,45,base.py:1189
wrapper,4.548132068539778,0.010232260464667423,0.0422265,9.5e-05,45,base.py:1218
apply,4.478563468180529,0.062255226827134434,0.0415806,0.0005780000000000001,8,registry.py:54
<genexpr>,4.464970717963255,0.18312514991607948,0.0414544,0.0017002,2536,win32.py:115
create_cpython_wrapper,4.3402987023016495,0.0006893312313039107,0.040296900000000004,6.4000000000000006e-06,1,lowering.py:273
create_cpython_wrapper,4.339609371070345,0.0020787644944008556,0.0402905,1.93e-05,1,cpu.py:181
_winapi_test,4.281845568047175,4.244115453933776,0.0397542,0.039403900000000006,1268,win32.py:108
format,4.260045467857189,1.5093661265433362,0.039551800000000005,0.014013500000000002,10689,pprint.py:466
__get__,4.216833016294825,0.045862068482688305,0.0391506,0.00042580000000000005,274,functools.py:979
_rec_list_vars,3.8895299310313365,2.5296302028755693,0.0361118,0.023486,21468,ir.py:318
step,3.8738691871201514,2.3133848414554348,0.0359664,0.021478300000000002,365,seir.py:238
__repr__,3.7645671037565247,0.010016844454884951,0.0349516,9.300000000000001e-05,26,module.py:233
GetConsoleMode,3.738867973789476,3.693016676107277,0.034713,0.0342873,1268,win32.py:170
create_cfunc_wrapper,3.7242627683262244,0.0037805509716823844,0.0345774,3.51e-05,4,lowering.py:286
create_cfunc_wrapper,3.720482217354543,0.015531494305316234,0.034542300000000005,0.0001442,4,cpu.py:193
_get_body_lines,3.7079880887871584,0.021584684180203702,0.0344263,0.00020040000000000002,26,module.py:207
lower_binop,3.6382363848195944,0.03093373900476299,0.0337787,0.00028720000000000004,11,lowering.py:726
run_pass,3.590554051054245,0.0034358853560304296,0.033336000000000005,3.19e-05,4,untyped_passes.py:244
__init__,3.549797342003401,0.032517046676664156,0.032957600000000004,0.0003019,33,cgutils.py:99
__str__,3.5485156167451946,0.00783037195559286,0.0329457,7.27e-05,101,values.py:1013
_format_dict_items,3.5409006607993843,0.4261359505516863,0.032875,0.0039564000000000005,108,pprint.py:380
get_function,3.540308266772483,0.05135517673214134,0.0328695,0.00047680000000000004,97,base.py:526
descr,3.5331564552477044,0.015359161497490255,0.0328031,0.0001426,101,values.py:1006
_safe_repr,3.492722870211535,1.1231790750058095,0.032427700000000004,0.010428000000000002,10689,pprint.py:554
list_vars,3.459494950702588,0.1321577220015466,0.0321192,0.001227,3058,ir.py:351
