func,cumpct,selfpct,cumtime,selftime,calls,path
_sum_dispatcher,0.007174636007929429,0.007174636007929429,0.0058012,0.0058012,17891,fromnumeric.py:2172
<built-in method numpy.empty>,0.0071238055694122435,0.0071238055694122435,0.005760100000000001,0.005760100000000001,3681,~
_is_instance,0.006855059722945467,0.0013840472930555443,0.0055428000000000005,0.0011191,2190,migration.py:500
<built-in method numpy.zeros>,0.006403274827803665,0.006403274827803665,0.005177500000000001,0.005177500000000001,1828,~
date,0.005343503470981846,0.0002479684409415036,0.0043206,0.00020050000000000002,6,sc_datetime.py:249
add,0.005110252358954078,0.005110252358954078,0.004132,0.004132,1825,laserframe.py:173
fill_diagonal,0.004882566623406293,0.004882566623406293,0.0039479,0.0039479,730,index_tricks.py:785
issubclass_,0.004830746784625999,0.002779349014103945,0.003906,0.0022473000000000003,2920,numerictypes.py:283
__init__,0.004272477686167174,0.0008155131668669698,0.0034546000000000004,0.0006594000000000001,1,seir.py:82
_byte_order_str,0.004152883929363964,0.0023983062377743824,0.0033579,0.0019392,730,_dtype.py:160
prng,0.004025622320521666,1.2614853354630108e-05,0.003255,1.02e-05,1,random.py:83
seed,0.004009420891213269,0.0038577953008919305,0.0032419000000000003,0.0031193,1,random.py:43
_sanitize_iterables,0.003956116952038312,3.1660808419463796e-05,0.0031988000000000003,2.5600000000000002e-05,7,sc_utils.py:1543
dcp,0.003886735258587846,1.360425361773835e-05,0.0031427,1.1000000000000001e-05,7,sc_utils.py:241
deepcopy,0.0038731310049701082,0.0016665210681729478,0.0031317000000000003,0.0013475000000000002,749,copy.py:118
_deepcopy_list,0.003838130970662654,0.00019788005262164873,0.0031034,0.00016,7,copy.py:191
<built-in method builtins.issubclass>,0.0037196502891554415,0.0028821229664343136,0.0030076,0.0023304000000000003,5514,~
__instancecheck__,0.003525233137454672,0.0012787998400674047,0.0028504000000000003,0.001034,1531,<frozen abc>:117
where,0.003495674804594313,0.003495674804594313,0.0028265,0.0028265,11320,multiarray.py:346
_is_dtype,0.0034459574413731237,0.0008700538563708117,0.0027863000000000002,0.0007035,730,migration.py:514
__radd__,0.00337224712177156,0.0001751238465701591,0.0027267000000000003,0.0001416,368,relativedelta.py:404
_all_dispatcher,0.003216663930397788,0.003216663930397788,0.0026009,0.0026009,8037,fromnumeric.py:2416
__add__,0.003197123275201401,0.0014965915729841068,0.0025851000000000003,0.0012101,368,relativedelta.py:317
_prod_dispatcher,0.002579737511021857,0.002579737511021857,0.0020859000000000003,0.0020859000000000003,9519,fromnumeric.py:2974
<built-in method _a...c._abc_instancecheck>,0.002246433297387267,0.002059436647659809,0.0018164000000000001,0.0016652000000000001,1531,~
<method 'isocalenda...tetime.date' objects>,0.0021430409698924555,0.0021430409698924555,0.0017328,0.0017328,1825,~
_search_new_conversions,0.0019670513980920767,3.561840947189677e-05,0.0015905000000000001,2.8800000000000002e-05,2,dispatcher.py:705
<method 'copy' of '...mpy.ndarray' objects>,0.0019311856385544031,0.0019311856385544031,0.0015615000000000002,0.0015615000000000002,365,~
<method 'newbyteord...numpy.dtype' objects>,0.0017545776915895816,0.0017545776915895816,0.0014187000000000002,0.0014187000000000002,1460,~
typeof_pyval,0.0017272455093212161,3.3021233781237635e-05,0.0013966,2.6700000000000002e-05,10,dispatcher.py:724
typeof,0.0016905140245533226,2.2879881084378135e-05,0.0013669,1.8500000000000002e-05,10,typeof.py:27
wrapper,0.001654895615081426,2.3992956380374905e-05,0.0013381,1.94e-05,10,functools.py:904
_reconstruct,0.0014092769997648045,0.0004895057801728035,0.0011395,0.0003958,370,copy.py:247
