scenario_sia,year,month,start_date,adm0_name,adm1_name,adm2_name
1,2025,2,2025-02-01,NIGERIA,TARABA,GASHAKA
1,2025,2,2025-02-01,NIGERIA,TARABA,GASSOL
1,2025,2,2025-02-01,NIGERIA,TARABA,IBI
1,2025,2,2025-02-01,NIGERIA,TARABA,JALINGO
1,2025,2,2025-02-01,NIGERIA,TARABA,KARIM LAMIDO
1,2025,2,2025-02-01,NIGERIA,TARABA,KURMI
1,2025,2,2025-02-01,NIGERIA,TARABA,LAU
1,2025,2,2025-02-01,NIGERIA,TARABA,SARDAUNA
1,2025,2,2025-02-01,NIGERIA,TARABA,TAKUM
1,2025,2,2025-02-01,NIGERIA,TARABA,USSA
1,2025,2,2025-02-01,NIGERIA,TARABA,WUKARI
1,2025,2,2025-02-01,NIGERIA,TARABA,YORRO
1,2025,2,2025-02-01,NIGERIA,TARABA,ZING
1,2025,2,2025-02-01,NIGERIA,GOMBE,AKKO
1,2025,2,2025-02-01,NIGERIA,GOMBE,BALANGA
1,2025,2,2025-02-01,NIGERIA,GOMBE,BILLIRI
1,2025,2,2025-02-01,NIGERIA,GOMBE,DUKKU
1,2025,2,2025-02-01,NIGERIA,GOMBE,FUNAKAYE
1,2025,2,2025-02-01,NIGERIA,GOMBE,GOMBE
1,2025,2,2025-02-01,NIGERIA,GOMBE,KALTUNGO
1,2025,2,2025-02-01,NIGERIA,GOMBE,KWAMI
1,2025,2,2025-02-01,NIGERIA,GOMBE,NAFADA
1,2025,2,2025-02-01,NIGERIA,GOMBE,SHOMGOM
1,2025,2,2025-02-01,NIGERIA,GOMBE,YAMALTU/DEBA
1,2025,2,2025-02-01,NIGERIA,ADAMAWA,DEMSA
1,2025,2,2025-02-01,NIGERIA,ADAMAWA,FUFORE
1,2025,2,2025-02-01,NIGERIA,ADAMAWA,GANYE
1,2025,2,2025-02-01,NIGERIA,ADAMAWA,GIRIE
1,2025,2,2025-02-01,NIGERIA,ADAMAWA,GOMBI
1,2025,2,2025-02-01,NIGERIA,ADAMAWA,GUYUK
1,2025,2,2025-02-01,NIGERIA,ADAMAWA,HONG
