adm0_name,adm1_name,reff_random_effect,sia_random_effect
BOTSWANA,GOODHOPE,-0.5881594065787787,-0.2701038105940279
BOTSWANA,HUKUNTSI,-0.5379328544913079,-0.285547548645818
BOTSWANA,JWANENG,-0.5858379517804336,-0.2717684535047749
BOTSWANA,KANYE_MOSHUPA,-0.6002553825947411,-0.2602020014099372
BOTSWANA,KGALAGADI_SOUTH,-0.5746624464464078,-0.2695382911151339
BOTSWANA,KGATLENG,-0.6200652051808275,-0.2513815537792771
BOTSWANA,KWENENG_EAST,-0.6322861810756069,-0.2508633795464583
BOTSWANA,KWENENG_WEST,-0.5889003474735388,-0.2601998278366706
BOTSWANA,LOBATSE,-0.5653627094713409,-0.2446814585111681
BOTSWANA,MABUTSANE,-0.5593627239442618,-0.2891815829000047
BOTSWANA,MAHALAPYE,-0.5461604160936084,-0.2475412534292838
