scenario_sia,year,month,start_date,adm0_name,adm1_name,adm2_name
2,2025,2,2025-02-01,NIGERIA,KATSINA,BAKORI
2,2025,2,2025-02-01,NIGERIA,KATSINA,BATAGARAWA
2,2025,2,2025-02-01,NIGERIA,KATSINA,BATSARI
2,2025,2,2025-02-01,NIGERIA,KATSINA,BAURE
2,2025,2,2025-02-01,NIGERIA,KATSINA,BINDAWA
2,2025,2,2025-02-01,NIGERIA,KATSINA,CHARANCHI
2,2025,2,2025-02-01,NIGERIA,KATSINA,DAN MUSA
2,2025,2,2025-02-01,NIGERIA,KATSINA,DANDUME
2,2025,2,2025-02-01,NIGERIA,KATSINA,DANJA
2,2025,2,2025-02-01,NIGERIA,KATSINA,DAURA
2,2025,2,2025-02-01,NIGERIA,KATSINA,DUTSI
2,2025,2,2025-02-01,NIGERIA,KATSINA,DUTSIN MA
2,2025,2,2025-02-01,NIGERIA,KATSINA,FASKARI
2,2025,2,2025-02-01,NIGERIA,KATSINA,FUNTUA
2,2025,2,2025-02-01,NIGERIA,KATSINA,INGAWA
2,2025,2,2025-02-01,NIGERIA,KATSINA,JIBIA
2,2025,2,2025-02-01,NIGERIA,KATSINA,KAFUR
2,2025,2,2025-02-01,NIGERIA,KATSINA,KAITA
2,2025,2,2025-02-01,NIGERIA,KATSINA,KANKARA
2,2025,2,2025-02-01,NIGERIA,KATSINA,KANKIA
2,2025,2,2025-02-01,NIGERIA,KATSINA,KATSINA
2,2025,2,2025-02-01,NIGERIA,KATSINA,KURFI
2,2025,2,2025-02-01,NIGERIA,KATSINA,KUSADA
2,2025,2,2025-02-01,NIGERIA,KATSINA,MAI'ADUA
2,2025,2,2025-02-01,NIGERIA,KATSINA,MALUMFASHI
2,2025,2,2025-02-01,NIGERIA,KATSINA,MANI
2,2025,2,2025-02-01,NIGERIA,KATSINA,MASHI
2,2025,2,2025-02-01,NIGERIA,KATSINA,MATAZU
2,2025,2,2025-02-01,NIGERIA,KATSINA,MUSAWA
2,2025,2,2025-02-01,NIGERIA,KATSINA,RIMI
2,2025,2,2025-02-01,NIGERIA,KATSINA,SABUWA
2,2025,2,2025-02-01,NIGERIA,KATSINA,SAFANA
2,2025,2,2025-02-01,NIGERIA,KATSINA,SANDAMU
2,2025,2,2025-02-01,NIGERIA,KATSINA,ZANGO
2,2025,2,2025-02-01,NIGERIA,ZAMFARA,ANKA
2,2025,2,2025-02-01,NIGERIA,ZAMFARA,BAKURA
2,2025,2,2025-02-01,NIGERIA,ZAMFARA,BIRNIN MAGAJI/KIYAW
2,2025,2,2025-02-01,NIGERIA,ZAMFARA,BUKKUYUM
2,2025,2,2025-02-01,NIGERIA,ZAMFARA,BUNGUDU
