adm0_name,adm1_name,mean,lower,upper
EGYPT,BENI SUEF,1.0040313867423996,0.6848873169146701,1.4718903397206025
GAMBIA,LOWER RIVER REGION,1.1596597573978424,0.7682920792544228,1.7503899743871805
JORDAN,KARAK,1.076348131961687,0.674363251620625,1.7179543790282998
NIGERIA,PLATEAU,0.7044775601209902,0.5998403570010552,0.8273678603341286
KENYA,NYAMIRA,1.0798383653009347,0.724720476830285,1.6089663980183944
CÔTE D’IVOIRE,BAFING,1.099946683863384,0.7515443036372152,1.6098621218824274
SOMALIA,MUDUG PL,0.8213220508601438,0.564659710294166,1.1946485625434256
AFGHANISTAN,PAKTIKA,0.949533572796055,0.7503118736194707,1.201652322943388
AFGHANISTAN,WARDAK,0.831637327121274,0.6393778560777202,1.0817087850120137
ZAMBIA,CENTRAL,1.1560641723361162,0.8424954402194893,1.5863401826970167
NIGERIA,YOBE,0.5608120183542669,0.5091043860178878,0.6177713816033312
TAJIKISTAN,KHATLON,1.0861216101213826,0.842196231518376,1.4006951204778995
MALI,MENAKA,0.7382951133962757,0.5383297127536473,1.0125387128951997
SYRIAN ARAB REPUBLIC,EDLEB,0.8540833545853495,0.5392374800782893,1.35275904129264
AFGHANISTAN,KANDAHAR,0.8522501122423372,0.7644585477088943,0.9501237915305017
OMAN,DHAHIRAH,1.3301154955381949,0.8144666384914063,2.1722279929695243
SYRIAN ARAB REPUBLIC,QUNEITERA,1.0022694420731275,0.6509019143233767,1.5433109235172846
GAMBIA,WESTERN REGION 2,1.1730584340136705,0.7455785921559294,1.8456351940464728
CÔTE D’IVOIRE,GRANDS PONTS,0.9912923758200463,0.6778869773231028,1.4495935269908335
NIGERIA,BAUCHI,0.6326744314730428,0.5705157688009131,0.7016053860895433
MADAGASCAR,VATOVAVY FITOVINANY,0.9993892756380189,0.562364824929254,1.7760337773365094
CENTRAL AFRICAN REPUBLIC,RS6,0.884198020313191,0.6657314734069699,1.1743565842317323
UNITED REPUBLIC OF TANZANIA,MANYARA,1.094676222269113,0.7457939550694621,1.6067655462422854
ZAMBIA,EASTERN,1.182802727371156,0.8238099249383263,1.698234325085828
SOUTH SUDAN,CENTRAL EQUATORIA,0.9967117670165243,0.7548563282732673,1.3160575188945989
JORDAN,MAFRAK,1.0453535804970107,0.7265933795535561,1.5039554983687766
RWANDA,NOR,1.0661709227667648,0.7303954980664367,1.5563081091854443
SENEGAL,DIOURBEL,1.260683182766565,0.8212972755782588,1.9351361980245556
CÔTE D’IVOIRE,IFOU,1.0642235828994375,0.7545110858816918,1.501067188530222
YEMEN,DHAMAR,1.2107444571066064,0.828266031948046,1.769844571516032
BURUNDI,CIBITOKE,1.0520893970031326,0.7152567863945914,1.5475450500315382
SOMALIA,HIRAN,0.6314319337824031,0.5430723687837835,0.7341678750717743
TURKMENISTAN,BALKAN,0.990756632087042,0.6612483742879001,1.4844629373668343
TUNISIA,KEF,0.9121033023552484,0.5693979703841333,1.4610737611272175
CHAD,MOYEN CHARI,0.7122439654146459,0.5715474576734957,0.8875754050845185
CHAD,GUERA,0.6297801204143141,0.5174797635676837,0.766451227647265
TURKMENISTAN,MARY,0.9172592975659303,0.6479154607502234,1.2985716037659065
MADAGASCAR,BOENI,1.002043397504892,0.5272051219893947,1.9045546573869379
ERITREA,SOUTH RED SEA,0.9762267486767877,0.6366943409269912,1.4968228921973932
IRAN (ISLAMIC REPUBLIC OF),ALBORZ,1.0377176427461494,0.6576205211070925,1.6375065429128566
ANGOLA,HUILA,1.128798402062197,0.8120279829324221,1.569140299693602
DEMOCRATIC REPUBLIC OF THE CONGO,HAUT LOMAMI,0.7498466509255314,0.6949548648665015,0.8090741260042044
GABON,OGOOUE-LOLO,0.9857231193981659,0.6534171675424961,1.4870286799632608
SOUTH SUDAN,WESTERN BAHR EL GHAZAL,1.0802185497762387,0.7846305007771737,1.487161299649835
MADAGASCAR,DIANA,1.0014219766399595,0.43426426633754156,2.309298860242858
UZBEKISTAN,JIZZAKH,1.053779037945222,0.6616559136925478,1.6782896333769528
MAURITANIA,GORGOL,1.0446967967327168,0.7174659648894648,1.521175150478034
SOMALIA,SANAG,0.9264270415725426,0.6216456533182834,1.3806371182288633
PAKISTAN,GBALTISTAN,0.7783885675162092,0.5734672514282859,1.0565359408595727
UNITED REPUBLIC OF TANZANIA,DAR ES SALAAM,1.15811670398709,0.5562458254905395,2.4112258260475428
GUINEA,CONAKRY,0.5299460780073177,0.38087951081720917,0.7373535136945709
CÔTE D’IVOIRE,ABIDJAN 2,0.7431570669112585,0.6455959424451019,0.8554614268615977
MADAGASCAR,ANOSY,1.0015157480442551,0.5123029238167748,1.9578919950481883
GABON,NGOUNIE,0.9880813366827308,0.6572152456167396,1.4855174684582315
CÔTE D’IVOIRE,TCHOLOGO,1.0380012446543987,0.7308673039742429,1.4742027424749238
UNITED REPUBLIC OF TANZANIA,KIGOMA,1.0323177538373858,0.7511335964512301,1.4187621881416674
RWANDA,SUD,1.0595673827612742,0.7433355657296934,1.510331390520106
CÔTE D’IVOIRE,BAGOUE,1.0832258740490905,0.7710463928630106,1.5217998619414967
BURKINA FASO,OUAHIGOUYA,1.0285366135987533,0.7384891269579191,1.4325025608311681
UGANDA,BUNYORO,1.0767588386271016,0.7539126426913779,1.5378566837964556
LIBERIA,GBARPOLU,1.0541719612125684,0.7198885654688255,1.5436813100136346
MAURITANIA,HODH ECHARGUI,0.9629139949279732,0.693346950310559,1.3372862766798679
IRAN (ISLAMIC REPUBLIC OF),MARKAZI,1.0365980659654814,0.698087200860424,1.5392569138052712
ZAMBIA,MUCHINGA,1.1025709136468766,0.7895129260519435,1.539762782224705
IRAQ,ERBIL,0.9582344737375142,0.6371675320370144,1.4410861515863773
AFGHANISTAN,NURISTAN,0.9771321818177598,0.6978209289511006,1.3682411362741485
UGANDA,KARAMOJA,1.051982974802467,0.7389024429847032,1.4977189340503505
TUNISIA,SILIANA,0.929220849573189,0.5689338453578007,1.5176657081079428
MALAWI,CENTRAL,1.2051459275700567,0.8082843180437755,1.7968636460172345
CÔTE D’IVOIRE,SUD-COMOE,0.9876155115541106,0.701128525406015,1.3911634790460912
CHAD,ENNEDI EST,0.8091423643950798,0.567423433936841,1.1538320885276214
