ADM0_NAME,ADM1_NAME,sia_random_effect,sia_prob
BENIN,ALIBORI,0.8256530027014051,0.6954349963389747
TUNISIA,ARIANA,0.971907294830789,0.7254994988306334
UGANDA,ANKOLE,1.084934211212355,0.747426600809955
MOZAMBIQUE,SOFALA,1.2342534706045167,0.7745621639424991
CHAD,LOGONE_OCCIDENTAL,0.6570807981297835,0.6586043256981028
KENYA,MARSABIT,0.9046281103691745,0.711899651404361
NIGERIA,BENUE,0.842036985843125,0.698894055249176
LIBERIA,NIMBA,1.0506413911525347,0.7408980448665768
MADAGASCAR,SAVA,0.9999629294756746,0.7310512900601218
LIBERIA,GRAND_KRU,1.0958371225014731,0.7494792954175065
CHAD,TIBESTI,0.6906189728383667,0.6661046061936499
MAURITANIA,TIRIS_ZEMMOUR,0.8793210760445921,0.7066815116170823
MADAGASCAR,IHOROMBE,0.9999280970523826,0.7310444414176014
NAMIBIA,ERONGO,1.2834697205363712,0.7830398207735207
LESOTHO,LERIBE,1.2992704791588958,0.7857121802779111
KENYA,THARAKA_NITHI,1.0018697054492178,0.7314260261843611
MOZAMBIQUE,ZAMBEZIA,1.255535736282511,0.7782566524504014
NIGERIA,GOMBE,0.5911623149671517,0.6436317902575046
MOROCCO,RABAT_SALE_KENITRA,0.8802056071066101,0.7068648261256982
CONGO,CUVETTE_OUEST,0.965818581359298,0.7242852682992047
ANGOLA,CABINDA,1.0474140049070482,0.7402780080353697
MAURITANIA,ADRAR,0.9399736492564376,0.7190943346582452
GAMBIA,WESTERN_REGION_1,1.182070808974424,0.7653199364224633
MALI,KOULIKORO,0.973999920338716,0.7259160484344344
KENYA,KISII,1.0821827168172915,0.7469068199504123
CHAD,NDJAMENA,0.5356929088694874,0.6308099109648692
DEMOCRATIC_REPUBLIC_OF_THE_CONGO,BAS_UELE,1.017736238530612,0.7345314116856902
NAMIBIA,OHANGWENA,1.2315780783298758,0.7740946555319013
MOROCCO,MARRAKECH_SAFI,0.8646603512679124,0.7036334147829495
NIGER,MARADI,0.7202891690323399,0.672670690881568
TUNISIA,JENDOUBA,0.921165421238794,0.7152795087878225
CHAD,KANEM,0.6273570711608973,0.651889944834829
ALGERIA,BOUIRA,0.7990106071521285,0.6897628006337155
BURUNDI,KIRUNDO,1.0749213365659098,0.7455316908450582
BURUNDI,BUJUMBURA_RURAL,0.9912323410748974,0.7293312640560702
SUDAN,NORTHERN,0.987799078364552,0.7286529799922669
LIBERIA,MONTSERRADO,1.0127800687688189,0.7335638606000103
KENYA,VIHIGA,1.0848697440357415,0.7474144304972531
SENEGAL,SAINT_LOUIS,1.0755477004662155,0.7456505026880748
ZIMBABWE,MATABELELAND_NORTH,1.2685568526788078,0.7804956048010532
MOZAMBIQUE,CABO_DELGADO,1.2416388475356552,0.775849150569915
CONGO,NIARI,1.012457930162772,0.7335008945415157
MALI,MOPTI,0.8650872832546807,0.7037224366348447
CHAD,MANDOUL,0.6373268653542741,0.654148945152931
ANGOLA,NAMIBE,1.2046385679255198,0.769348930934123
EGYPT,SHARKIA,0.9840991881758148,0.7279208272299968
UNITED_REPUBLIC_OF_TANZANIA,ARUSHA,1.0745003250554368,0.7454518107317165
GHANA,UPPER_WEST,1.0450810563479742,0.7398292088569458
UGANDA,ACHOLI,1.0635306819415975,0.7433646848632266
MOROCCO,TANGER_TETOUAN_HOC,0.8788634418538175,0.7065866429708132
NAMIBIA,KAVANGO,1.2432567482514307,0.7761303896505314
ALGERIA,MILA,0.8714905409783245,0.7050557538903266
ALGERIA,AIN_DAFLA,0.8308523401394443,0.6965351224961492
GUINEA_BISSAU,FARIM,1.1329082626145064,0.7563752092405885
ALGERIA,BECHAR,0.8485830272210965,0.7002698156463567
ANGOLA,CUNENE,1.224841272154379,0.7729144010524925
KENYA,MOMBASA,1.080692415225204,0.7466249941251166
BENIN,PLATEAU,0.8674593346882513,0.7042167635326584
COTE_DIVOIRE,GONTOUGO,1.0600676679845162,0.742703476530076
ALGERIA,MSILA,0.8332589369490142,0.6970435736262959
BURUNDI,KARUSI,1.057250520318369,0.742164765656154
SOMALIA,GEDO,0.648974559536461,0.6567793448177197
KENYA,WAJIR,0.8562942431419899,0.7018858345215359
CENTRAL_AFRICAN_REPUBLIC,RS1,0.9037172494356585,0.7117127991071659
GABON,LIBREVILLE,0.9618220815941502,0.7234864678624443
EGYPT,MATROUH,0.9655917746619446,0.7242399735781895
TUNISIA,KAIROUAN,0.941203063100028,0.7193426064880379
KENYA,TRANS_NZOIA,1.066405392764998,0.7439127200981135
SOMALIA,BAY,0.624339581253753,0.6512048740597455
SOMALIA,BAKOL,0.7757895823318386,0.6847719638902695
CENTRAL_AFRICAN_REPUBLIC,RS4,0.950385319487674,0.7211926622818471
CHAD,DAR_SILA,0.6465964118731256,0.6562430625106149
ETHIOPIA,SOMALI,0.8289706631740262,0.6961372379850714
BENIN,COUFFO,0.9650703806182988,0.7241358304451699
UNITED_REPUBLIC_OF_TANZANIA,MJINI_MAGHARIBI,1.0002395244825208,0.7311056693951468
MALI,BAMAKO,0.8824455498186926,0.7073287426523416
MADAGASCAR,MELAKY,0.9994607108318246,0.7309525347327906
ALGERIA,EL_BAYADH,0.8317579351320346,0.696726507606836
COTE_DIVOIRE,LOH_DJIBOUA,1.0572589616432768,0.7421663809529311
BURUNDI,MUYINGA,1.0701440304685377,0.7446243054750035
UGANDA,KIGEZI,1.0751467473975271,0.7455744521112982
ANGOLA,BIE,1.1146209521688115,0.7529895957016288
BOTSWANA,JWANENG,1.2956439410057974,0.7851009526561699
CHAD,WADI_FIRA,0.6676602291352225,0.6609790475505657
BURUNDI,NGOZI,1.063436795249034,0.7433467733488206
TUNISIA,TOZEUR,0.8472922000406857,0.6999988113258856
KENYA,NANDI,1.0738700338121336,0.7453321923181422
SOMALIA,MUDUG_GM,0.7837469198258793,0.6864870985612055
MADAGASCAR,HAUTE_MATSIATRA,0.9996594758721096,0.7309916222553561
KENYA,ISIOLO,0.9637036372150294,0.7238627218851788
UNITED_REPUBLIC_OF_TANZANIA,KASKAZINI_UNGUJA,0.9999610577984336,0.7310509220595779
MADAGASCAR,AMORONI_MANIA,0.9991730120082106,0.7308959518562821
LIBYA,JABAL_NAFOSA,0.8125568191870974,0.6926540791860234
KENYA,GARISSA,0.9099944391921936,0.7129990248376572
