dot_name,lat,lon,prop_underwt,ADM0_NAME,ADM1_NAME,ADM2_NAME
EMRO:SOMALIA:TOGDHER:AINABO,9.309347433395008,46.40435579475443,0.24342188749856095,SOMALIA,TOGDHER,AINABO
EMRO:SOMALIA:SAHIL:SHEIKH,9.850623075610175,45.16726158382025,0.23124860938938185,SOMALIA,SAHIL,SHEIKH
EMRO:SOMALIA:TOGDHER:OWDWEYNE,9.142807610135646,45.024426050014775,0.2564511419453501,SOMALIA,TOGDHER,OWDWEYNE
EMRO:SOMALIA:BANADIR:KAHDA,2.048152917658244,45.24572252239221,0.1895098304748535,SOMALIA,BANADIR,KAHDA
EMRO:SOMALIA:BANADIR:DANYILE,2.093735491619403,45.29273193009377,0.19080994606018067,SOMALIA,BANADIR,DANYILE
EMRO:SOMALIA:GALBEED:B_GUBADLE,9.169678059952794,44.191634504662886,0.2730701450154751,SOMALIA,GALBEED,B_GUBADLE
EMRO:SOMALIA:AWDAL:BAKI,10.079653047871307,43.401645555175996,0.25137246180803346,SOMALIA,AWDAL,BAKI
EMRO:SOMALIA:TOGDHER:BURAO,9.200879821304973,45.70842090419991,0.2543118016739097,SOMALIA,TOGDHER,BURAO
EMRO:SOMALIA:MUDUG_PL:GOLDOGOB,7.016396418727361,47.10752321182717,0.26874455522236074,SOMALIA,MUDUG_PL,GOLDOGOB
EMRO:SOMALIA:MUDUG_PL:JARIBAN,7.186114733865533,48.69027127293794,0.23297136269759458,SOMALIA,MUDUG_PL,JARIBAN
AFRO:SENEGAL:FATICK:DIAKHAO,14.387929224977217,-16.291231358308075,0.15994360634774873,SENEGAL,FATICK,DIAKHAO
AFRO:SENEGAL:FATICK:FATICK,14.39238602164231,-16.528484627440655,0.14880557342811868,SENEGAL,FATICK,FATICK
AFRO:ETHIOPIA:AMHARA:CENTRAL_GONDAR,12.567030999394385,37.2879931134886,0.30304486103734485,ETHIOPIA,AMHARA,CENTRAL_GONDAR
