date,dot_name,age_min,age_max
2025-02-01,AFRO:NIGERIA:KEBBI:BAGUDO,0,1825
2025-02-01,AFRO:NIGERIA:KEBBI:BIRNIN_KEBBI,0,1825
2025-02-01,AFRO:NIGERIA:KEBBI:BUNZA,0,1825
2025-02-01,AFRO:NIGERIA:KEBBI:DANDI,0,1825
2025-02-01,AFRO:NIGERIA:KEBBI:FAKAI,0,1825
2025-02-01,AFRO:NIGERIA:KEBBI:GWANDU,0,1825
2025-02-01,AFRO:NIGERIA:KEBBI:JEGA,0,1825
2025-02-01,AFRO:NIGERIA:KEBBI:KALGO,0,1825
2025-02-01,AFRO:NIGERIA:KEBBI:KOKO_BESSE,0,1825
2025-02-01,AFRO:NIGERIA:KEBBI:MAIYAMA,0,1825
2025-02-01,AFRO:NIGERIA:KEBBI:NGASKI,0,1825
2025-02-01,AFRO:NIGERIA:KEBBI:SAKABA,0,1825
2025-02-01,AFRO:NIGERIA:KEBBI:SHANGA,0,1825
2025-02-01,AFRO:NIGERIA:KEBBI:SURU,0,1825
2025-02-01,AFRO:NIGERIA:KEBBI:WASAGU_DANKO,0,1825
2025-02-01,AFRO:NIGERIA:KEBBI:YAURI,0,1825
2025-02-01,AFRO:NIGERIA:KEBBI:ZURU,0,1825
2025-02-01,AFRO:NIGERIA:KADUNA:BIRNIN_GWARI,0,1825
2025-02-01,AFRO:NIGERIA:KADUNA:CHIKUN,0,1825
2025-02-01,AFRO:NIGERIA:KADUNA:GIWA,0,1825
2025-02-01,AFRO:NIGERIA:KADUNA:IGABI,0,1825
2025-02-01,AFRO:NIGERIA:KADUNA:IKARA,0,1825
2025-02-01,AFRO:NIGERIA:KADUNA:JABA,0,1825
2025-02-01,AFRO:NIGERIA:KADUNA:JEMAA,0,1825
2025-02-01,AFRO:NIGERIA:KADUNA:KACHIA,0,1825
2025-02-01,AFRO:NIGERIA:KADUNA:KADUNA_NORTH,0,1825
2025-02-01,AFRO:NIGERIA:KADUNA:KADUNA_SOUTH,0,1825
2025-02-01,AFRO:NIGERIA:KADUNA:KAGARKO,0,1825
2025-02-01,AFRO:NIGERIA:KADUNA:KAJURU,0,1825
2025-02-01,AFRO:NIGERIA:KADUNA:KAURA,0,1825
2025-02-01,AFRO:NIGERIA:KADUNA:KAURU,0,1825
2025-02-01,AFRO:NIGERIA:KADUNA:KUBAN,0,1825
2025-02-01,AFRO:NIGERIA:KADUNA:KUDAN,0,1825
2025-02-01,AFRO:NIGERIA:KADUNA:LERE,0,1825
2025-02-01,AFRO:NIGERIA:KADUNA:MAKARFI,0,1825
2025-02-01,AFRO:NIGERIA:KADUNA:SABON_GARI,0,1825
2025-02-01,AFRO:NIGERIA:KADUNA:SANGA,0,1825
2025-02-01,AFRO:NIGERIA:KADUNA:SOBA,0,1825
2025-02-01,AFRO:NIGERIA:KADUNA:ZANGON_KATAF,0,1825
2025-02-01,AFRO:NIGERIA:KADUNA:ZARIA,0,1825
2025-02-01,AFRO:NIGERIA:NIGER:AGAIE,0,1825
2025-02-01,AFRO:NIGERIA:NIGER:AGWARA,0,1825
2025-02-01,AFRO:NIGERIA:NIGER:BIDA,0,1825
2025-02-01,AFRO:NIGERIA:NIGER:BORGU,0,1825
2025-02-01,AFRO:NIGERIA:NIGER:BOSSO,0,1825
2025-02-01,AFRO:NIGERIA:NIGER:CHANCHAGA,0,1825
