Time,Node,S,E,I,R
19,3,39381.0,0.0,0.0,536698.1
19,4,56669.0,0.0,0.0,764783.9
19,5,39504.0,0.0,0.0,502331.62
19,6,90353.0,0.0,0.0,1401889.4
19,7,78234.0,0.0,0.0,1204957.2
19,8,58296.0,0.0,0.0,894191.4
19,9,84003.0,0.0,0.0,1267628.0
19,10,37248.0,0.0,0.0,554492.7
19,11,63709.0,0.0,0.0,968583.5
19,12,70909.0,0.0,0.0,1102515.5
19,13,79411.0,0.0,0.0,1222068.8
20,0,12693.0,125.0,715.0,257982.25
20,1,15416.0,0.0,0.0,318429.3
20,2,26999.0,0.0,0.0,386354.78
20,3,39381.0,0.0,0.0,536664.8
20,4,56669.0,0.0,0.0,764736.5
20,5,39504.0,0.0,0.0,502300.38
20,6,90353.0,0.0,0.0,1401831.0
20,7,78234.0,0.0,0.0,1204914.0
20,8,58296.0,0.0,0.0,894159.25
20,9,84003.0,0.0,0.0,1267582.5
20,10,37248.0,0.0,0.0,554472.75
20,11,63709.0,0.0,0.0,968548.7
20,12,70909.0,0.0,0.0,1102475.9
20,13,79411.0,0.0,0.0,1222024.8
21,0,12637.0,141.0,744.0,257980.12
21,1,15426.0,0.0,0.0,318402.06
21,2,26555.0,0.0,0.0,382692.44
21,3,39503.0,0.0,0.0,536631.5
21,4,56845.0,0.0,0.0,764683.1
21,5,39623.0,0.0,0.0,502269.12
21,6,90892.0,0.0,0.0,1401738.8
21,7,78748.0,0.0,0.0,1204839.8
21,8,58680.0,0.0,0.0,894104.06
21,9,84548.0,0.0,0.0,1267511.9
21,10,37483.0,0.0,0.0,554433.75
21,11,64126.0,0.0,0.0,968490.9
21,12,71378.0,0.0,0.0,1102405.2
21,13,79935.0,0.0,0.0,1221952.0
22,0,12584.0,149.0,772.0,257975.02
22,1,15426.0,0.0,0.0,318374.8
22,2,26555.0,0.0,0.0,382665.12
22,3,39503.0,0.0,0.0,536598.1
22,4,56845.0,0.0,0.0,764635.75
22,5,39623.0,0.0,0.0,502237.88
22,6,90892.0,0.0,0.0,1401680.5
22,7,78748.0,0.0,0.0,1204796.5
22,8,58680.0,0.0,0.0,894071.9
22,9,84548.0,0.0,0.0,1267466.2
22,10,37483.0,0.0,0.0,554413.9
22,11,64126.0,0.0,0.0,968456.0
22,12,71378.0,0.0,0.0,1102365.6
22,13,79935.0,0.0,0.0,1221908.0
23,0,12521.0,153.0,802.0,257981.9
23,1,15426.0,0.0,0.0,318347.56
23,2,26555.0,0.0,0.0,382637.78
23,3,39503.0,0.0,0.0,536564.8
23,4,56845.0,0.0,0.0,764588.4
23,5,39623.0,0.0,0.0,502206.62
23,6,90892.0,0.0,0.0,1401622.2
23,7,78748.0,0.0,0.0,1204753.2
23,8,58680.0,0.0,0.0,894039.75
23,9,84548.0,0.0,0.0,1267420.8
23,10,37483.0,0.0,0.0,554393.9
23,11,64126.0,0.0,0.0,968421.2
23,12,71378.0,0.0,0.0,1102326.0
23,13,79935.0,0.0,0.0,1221864.1
24,0,12437.0,173.0,848.0,257977.8
24,1,15426.0,0.0,0.0,318320.3
24,2,26555.0,0.0,0.0,382610.44
24,3,39503.0,0.0,0.0,536531.5
24,4,56845.0,0.0,0.0,764541.0
24,5,39623.0,0.0,0.0,502175.38
24,6,90892.0,0.0,0.0,1401564.0
24,7,78748.0,0.0,0.0,1204710.0
24,8,58680.0,0.0,0.0,894007.6
24,9,84548.0,0.0,0.0,1267375.1
24,10,37483.0,0.0,0.0,554374.0
24,11,64126.0,0.0,0.0,968386.4
24,12,71378.0,0.0,0.0,1102286.5
24,13,79935.0,0.0,0.0,1221820.2
25,0,6022.0,184.0,893.0,264314.7
25,1,6605.0,0.0,0.0,327114.06
25,2,17477.0,0.0,0.0,391661.12
25,3,28734.0,0.0,0.0,547267.2
25,4,41225.0,0.0,0.0,780113.6
25,5,29162.0,0.0,0.0,512605.16
25,6,71432.0,0.0,0.0,1420965.8
25,7,63846.0,0.0,0.0,1219568.8
25,8,47570.0,0.0,0.0,905085.5
25,9,68910.0,0.0,0.0,1282967.5
25,10,30631.0,0.0,0.0,561206.0
25,11,52050.0,0.0,0.0,980427.56
25,12,58022.0,0.0,0.0,1115602.9
25,13,64701.0,0.0,0.0,1237010.2
26,0,5985.0,145.0,941.0,264320.6
26,1,6605.0,0.0,0.0,327086.8
26,2,17477.0,0.0,0.0,391633.8
26,3,28734.0,0.0,0.0,547233.9
26,4,41225.0,0.0,0.0,780066.3
26,5,29162.0,0.0,0.0,512573.94
26,6,71432.0,0.0,0.0,1420907.5
26,7,63846.0,0.0,0.0,1219525.5
26,8,47570.0,0.0,0.0,905053.3
26,9,68910.0,0.0,0.0,1282922.0
26,10,30631.0,0.0,0.0,561186.1
26,11,52050.0,0.0,0.0,980392.75
26,12,58022.0,0.0,0.0,1115563.2
26,13,64701.0,0.0,0.0,1236966.5
27,0,5951.0,112.0,965.0,264341.5
27,1,6605.0,0.0,0.0,327059.56
27,2,17477.0,0.0,0.0,391606.5
27,3,28734.0,0.0,0.0,547200.56
27,4,41225.0,0.0,0.0,780019.0
27,5,29162.0,0.0,0.0,512542.7
27,6,71432.0,0.0,0.0,1420849.2
27,7,63846.0,0.0,0.0,1219482.4
27,8,47570.0,0.0,0.0,905021.2
27,9,68910.0,0.0,0.0,1282876.5
27,10,30631.0,0.0,0.0,561166.2
27,11,52050.0,0.0,0.0,980357.94
27,12,58022.0,0.0,0.0,1115523.6
27,13,64701.0,0.0,0.0,1236922.5
28,0,5923.0,98.0,981.0,264354.38
28,1,6615.0,0.0,0.0,327032.3
28,2,17037.0,0.0,0.0,387939.2
28,3,28859.0,0.0,0.0,547165.25
28,4,41403.0,0.0,0.0,779968.6
28,5,29281.0,0.0,0.0,512511.47
28,6,71972.0,0.0,0.0,1420759.0
28,7,64363.0,0.0,0.0,1219407.1
28,8,47954.0,0.0,0.0,904965.06
28,9,69456.0,0.0,0.0,1282802.9
28,10,30867.0,0.0,0.0,561130.25
28,11,52466.0,0.0,0.0,980298.1
28,12,58495.0,0.0,0.0,1115458.0
28,13,65225.0,0.0,0.0,1236858.6
29,0,5889.0,85.0,1000.0,264360.28
29,1,6615.0,0.0,0.0,327005.1
29,2,17037.0,0.0,0.0,387911.88
29,3,28859.0,0.0,0.0,547131.94
29,4,41403.0,0.0,0.0,779921.25
29,5,29281.0,0.0,0.0,512480.25
29,6,71972.0,0.0,0.0,1420700.8
29,7,64363.0,0.0,0.0,1219364.0
29,8,47954.0,0.0,0.0,904932.94
29,9,69456.0,0.0,0.0,1282757.2
29,10,30867.0,0.0,0.0,561110.3
29,11,52466.0,0.0,0.0,980263.3
29,12,58495.0,0.0,0.0,1115418.5
29,13,65225.0,0.0,0.0,1236814.8
30,0,5851.0,92.0,1000.0,264369.2
30,1,6615.0,0.0,0.0,326977.88
30,2,17037.0,0.0,0.0,387884.53
30,3,28859.0,0.0,0.0,547098.6
30,4,41403.0,0.0,0.0,779873.94
30,5,29281.0,0.0,0.0,512449.0
30,6,71972.0,0.0,0.0,1420642.5
30,7,64363.0,0.0,0.0,1219320.8
30,8,47954.0,0.0,0.0,904900.8
30,9,69456.0,0.0,0.0,1282711.8
30,10,30867.0,0.0,0.0,561090.4
30,11,52466.0,0.0,0.0,980228.5
30,12,58495.0,0.0,0.0,1115378.9
30,13,65225.0,0.0,0.0,1236770.9
31,0,5812.0,97.0,1002.0,264379.12
31,1,6615.0,0.0,0.0,326950.62
31,2,17037.0,0.0,0.0,387857.25
31,3,28859.0,0.0,0.0,547065.4
31,4,41403.0,0.0,0.0,779826.6
31,5,29281.0,0.0,0.0,512417.78
31,6,71972.0,0.0,0.0,1420584.2
31,7,64363.0,0.0,0.0,1219277.5
31,8,47954.0,0.0,0.0,904868.7
31,9,69456.0,0.0,0.0,1282666.2
31,10,30867.0,0.0,0.0,561070.44
31,11,52466.0,0.0,0.0,980193.75
31,12,58495.0,0.0,0.0,1115339.2
31,13,65225.0,0.0,0.0,1236727.0
32,0,5769.0,105.0,1000.0,264394.0
32,1,6615.0,0.0,0.0,326923.4
32,2,17037.0,0.0,0.0,387829.94
32,3,28859.0,0.0,0.0,547032.06
32,4,41403.0,0.0,0.0,779779.25
32,5,29281.0,0.0,0.0,512386.56
32,6,71972.0,0.0,0.0,1420526.0
32,7,64363.0,0.0,0.0,1219234.2
32,8,47954.0,0.0,0.0,904836.56
32,9,69456.0,0.0,0.0,1282620.8
32,10,30867.0,0.0,0.0,561050.56
32,11,52466.0,0.0,0.0,980158.94
32,12,58495.0,0.0,0.0,1115299.8
32,13,65225.0,0.0,0.0,1236683.1
33,0,5724.0,108.0,1004.0,264409.9
33,1,6615.0,0.0,0.0,326896.2
33,2,17037.0,0.0,0.0,387802.62
33,3,28859.0,0.0,0.0,546998.75
33,4,41403.0,0.0,0.0,779731.94
33,5,29281.0,0.0,0.0,512355.38
33,6,71972.0,0.0,0.0,1420467.8
33,7,64363.0,0.0,0.0,1219191.0
33,8,47954.0,0.0,0.0,904804.44
33,9,69456.0,0.0,0.0,1282575.2
33,10,30867.0,0.0,0.0,561030.6
33,11,52466.0,0.0,0.0,980124.1
33,12,58495.0,0.0,0.0,1115260.2
33,13,65225.0,0.0,0.0,1236639.2
34,0,5688.0,104.0,1004.0,264427.8
34,1,6615.0,0.0,0.0,326868.94
34,2,17037.0,0.0,0.0,387775.34
34,3,28859.0,0.0,0.0,546965.5
34,4,41403.0,0.0,0.0,779684.6
34,5,29281.0,0.0,0.0,512324.12
34,6,71972.0,0.0,0.0,1420409.5
34,7,64363.0,0.0,0.0,1219147.9
34,8,47954.0,0.0,0.0,904772.3
34,9,69456.0,0.0,0.0,1282529.6
34,10,30867.0,0.0,0.0,561010.7
34,11,52466.0,0.0,0.0,980089.4
34,12,58495.0,0.0,0.0,1115220.6
34,13,65225.0,0.0,0.0,1236595.5
35,0,5674.0,84.0,1011.0,264441.75
35,1,6625.0,0.0,0.0,326841.75
35,2,16610.0,0.0,0.0,384093.03
35,3,28983.0,0.0,0.0,546930.25
35,4,41582.0,0.0,0.0,779636.3
35,5,29399.0,0.0,0.0,512292.94
35,6,72512.0,0.0,0.0,1420337.4
35,7,64880.0,0.0,0.0,1219084.8
35,8,48339.0,0.0,0.0,904721.2
35,9,70000.0,0.0,0.0,1282451.1
35,10,31106.0,0.0,0.0,560973.75
35,11,52883.0,0.0,0.0,980029.56
35,12,58968.0,0.0,0.0,1115158.0
35,13,65750.0,0.0,0.0,1236532.5
36,0,5645.0,75.0,1012.0,264456.66
36,1,6625.0,0.0,0.0,326814.5
36,2,16610.0,0.0,0.0,384065.75
36,3,28983.0,0.0,0.0,546896.94
36,4,41582.0,0.0,0.0,779589.0
36,5,29399.0,0.0,0.0,512261.75
36,6,72512.0,0.0,0.0,1420279.1
36,7,64880.0,0.0,0.0,1219041.5
36,8,48339.0,0.0,0.0,904689.1
36,9,70000.0,0.0,0.0,1282405.6
36,10,31106.0,0.0,0.0,560953.9
36,11,52883.0,0.0,0.0,979994.75
36,12,58968.0,0.0,0.0,1115118.5
36,13,65750.0,0.0,0.0,1236488.8
